Date/Time,Value
9/19/2024 18:00,25.5
9/19/2024 19:00,24.5
9/19/2024 20:00,24.5
9/19/2024 21:00,24.5
9/19/2024 22:00,24.5
9/19/2024 23:00,24.5
9/20/2024 0:00,24.5
9/20/2024 1:00,24.5
9/20/2024 2:00,24.5
9/20/2024 3:00,24.5
9/20/2024 4:00,24.5
9/20/2024 5:00,24.5
9/20/2024 6:00,24.5
9/20/2024 7:00,25.5
9/20/2024 8:00,25.5
9/20/2024 9:00,25.5
9/20/2024 10:00,25.5
9/20/2024 11:00,25.5
9/20/2024 12:00,25.5
9/20/2024 13:00,25.5
9/20/2024 14:00,25.5
9/20/2024 15:00,25.5
9/20/2024 16:00,25.5
9/20/2024 17:00,25.5
9/20/2024 18:00,25.5
9/20/2024 19:00,24.5
9/20/2024 20:00,24.5
9/20/2024 21:00,24.5
9/20/2024 22:00,24.5
9/20/2024 23:00,24.5
9/21/2024 0:00,24.5
9/21/2024 1:00,24.5
9/21/2024 2:00,24.5
9/21/2024 3:00,24.5
9/21/2024 4:00,24.5
9/21/2024 5:00,24.5
9/21/2024 6:00,24.5
9/21/2024 7:00,25.5
9/21/2024 8:00,25.5
9/21/2024 9:00,25.5
9/21/2024 10:00,25.5
9/21/2024 11:00,25.5
9/21/2024 12:00,25.5
9/21/2024 13:00,25.5
9/21/2024 14:00,25.5
9/21/2024 15:00,25.5
9/21/2024 16:00,25.5
9/21/2024 17:00,25.5
9/21/2024 18:00,25.5
9/21/2024 19:00,24.5
9/21/2024 20:00,24.5
9/21/2024 21:00,24.5
9/21/2024 22:00,24.5
9/21/2024 23:00,24.5
9/22/2024 0:00,24.5
9/22/2024 1:00,24.5
9/22/2024 2:00,24.5
9/22/2024 3:00,24.5
9/22/2024 4:00,24.5
9/22/2024 5:00,24.5
9/22/2024 6:00,24.5
9/22/2024 7:00,25.5
9/22/2024 8:00,25.5
9/22/2024 9:00,25.5
9/22/2024 10:00,25.5
9/22/2024 11:00,25.5
9/22/2024 12:00,25.5
9/22/2024 13:00,25.5
9/22/2024 14:00,25.5
9/22/2024 15:00,25.5
9/22/2024 16:00,25.5
9/22/2024 17:00,25.5
9/22/2024 18:00,25.5
9/22/2024 19:00,24.5
9/22/2024 20:00,24.5
9/22/2024 21:00,24.5
9/22/2024 22:00,24.5
9/22/2024 23:00,24.5
9/23/2024 0:00,24
9/23/2024 1:00,24.5
9/23/2024 2:00,24.5
9/23/2024 3:00,24.5
9/23/2024 4:00,24.5
9/23/2024 5:00,24.5
9/23/2024 6:00,24
9/23/2024 7:00,25.5
9/23/2024 8:00,25.5
9/23/2024 9:00,25.5
9/23/2024 10:00,25.5
9/23/2024 11:00,25.5
9/23/2024 12:00,25.5
9/23/2024 13:00,29.5
9/23/2024 14:00,25
9/23/2024 15:00,25
9/23/2024 16:00,25
9/23/2024 17:00,25
9/23/2024 18:00,25
9/23/2024 19:00,24.5
9/23/2024 20:00,24.5
9/23/2024 21:00,24.5
9/23/2024 22:00,24.5
9/23/2024 23:00,24.5
9/24/2024 0:00,24
9/24/2024 1:00,24
9/24/2024 2:00,24.5
9/24/2024 3:00,24.5
9/24/2024 4:00,24.5
9/24/2024 5:00,24
9/24/2024 6:00,24
9/24/2024 7:00,25
9/24/2024 8:00,25
9/24/2024 9:00,25
9/24/2024 10:00,25
9/24/2024 11:00,25
9/24/2024 12:00,25
9/24/2024 13:00,25
9/24/2024 14:00,25
9/24/2024 15:00,25
9/24/2024 16:00,25
9/24/2024 17:00,25
9/24/2024 18:00,26
9/24/2024 19:00,25.5
9/24/2024 20:00,25.5
9/24/2024 21:00,25.5
9/24/2024 22:00,25.5
9/24/2024 23:00,25.5
9/25/2024 0:00,25.5
9/25/2024 1:00,25
9/25/2024 2:00,25
9/25/2024 3:00,24.5
9/25/2024 4:00,24.5
9/25/2024 5:00,24.5
9/25/2024 6:00,24.5
9/25/2024 7:00,25
9/25/2024 8:00,25
9/25/2024 9:00,25
9/25/2024 10:00,25
9/25/2024 11:00,25
9/25/2024 12:00,25
9/25/2024 13:00,25
9/25/2024 14:00,25
9/25/2024 15:00,25
9/25/2024 16:00,25
9/25/2024 17:00,25
9/25/2024 18:00,25.5
9/25/2024 19:00,25
9/25/2024 20:00,25.5
9/25/2024 21:00,25
9/25/2024 22:00,25
9/25/2024 23:00,25
9/26/2024 0:00,25
9/26/2024 1:00,25
9/26/2024 2:00,25
9/26/2024 3:00,24.5
9/26/2024 4:00,24.5
9/26/2024 5:00,24.5
9/26/2024 6:00,24.5
9/26/2024 7:00,25
9/26/2024 8:00,25
9/26/2024 9:00,25
9/26/2024 10:00,25
9/26/2024 11:00,25
9/26/2024 12:00,25
9/26/2024 13:00,25
9/26/2024 14:00,25
9/26/2024 15:00,25
9/26/2024 16:00,25
9/26/2024 17:00,25
9/26/2024 18:00,25.5
9/26/2024 19:00,25.5
9/26/2024 20:00,25.5
9/26/2024 21:00,25.5
9/26/2024 22:00,25.5
9/26/2024 23:00,25.5
9/27/2024 0:00,25.5
9/27/2024 1:00,25
9/27/2024 2:00,25
9/27/2024 3:00,24.5
9/27/2024 4:00,24.5
9/27/2024 5:00,24.5
9/27/2024 6:00,24.5
9/27/2024 7:00,25
9/27/2024 8:00,25
9/27/2024 9:00,25
9/27/2024 10:00,25
9/27/2024 11:00,25
9/27/2024 12:00,25
9/27/2024 13:00,25
9/27/2024 14:00,25
9/27/2024 15:00,25.5
9/27/2024 16:00,25.5
9/27/2024 17:00,25
9/27/2024 18:00,26
9/27/2024 19:00,25.5
9/27/2024 20:00,25
9/27/2024 21:00,25.5
9/27/2024 22:00,25.5
9/27/2024 23:00,25
9/28/2024 0:00,25
9/28/2024 1:00,25
9/28/2024 2:00,25
9/28/2024 3:00,24.5
9/28/2024 4:00,24.5
9/28/2024 5:00,24.5
9/28/2024 6:00,24.5
9/28/2024 7:00,25
9/28/2024 8:00,25
9/28/2024 9:00,25.5
9/28/2024 10:00,25.5
9/28/2024 11:00,25
9/28/2024 12:00,25
9/28/2024 13:00,25
9/28/2024 14:00,25.5
9/28/2024 15:00,25.5
9/28/2024 16:00,25.5
9/28/2024 17:00,25
9/28/2024 18:00,26
9/28/2024 19:00,25
9/28/2024 20:00,25
9/28/2024 21:00,25
9/28/2024 22:00,25
9/28/2024 23:00,25
9/29/2024 0:00,25
9/29/2024 1:00,25
9/29/2024 2:00,25
9/29/2024 3:00,24.5
9/29/2024 4:00,24.5
9/29/2024 5:00,24.5
9/29/2024 6:00,24.5
9/29/2024 7:00,25
9/29/2024 8:00,25
9/29/2024 9:00,25
9/29/2024 10:00,25
9/29/2024 11:00,25.5
9/29/2024 12:00,25.5
9/29/2024 13:00,25.5
9/29/2024 14:00,25.5
9/29/2024 15:00,25
9/29/2024 16:00,25
9/29/2024 17:00,25
9/29/2024 18:00,26
9/29/2024 19:00,25.5
9/29/2024 20:00,25
9/29/2024 21:00,25
9/29/2024 22:00,25.5
9/29/2024 23:00,25.5
9/30/2024 0:00,25.5
9/30/2024 1:00,25
9/30/2024 2:00,25
9/30/2024 3:00,25
9/30/2024 4:00,24.5
9/30/2024 5:00,24.5
9/30/2024 6:00,24.5
9/30/2024 7:00,25
9/30/2024 8:00,25.5
9/30/2024 9:00,25.5
9/30/2024 10:00,25
9/30/2024 11:00,25
9/30/2024 12:00,25
9/30/2024 13:00,25.5
9/30/2024 14:00,25.5
9/30/2024 15:00,25.5
9/30/2024 16:00,25
9/30/2024 17:00,25
9/30/2024 18:00,25.5
9/30/2024 19:00,25.5
9/30/2024 20:00,25.5
9/30/2024 21:00,25.5
9/30/2024 22:00,25.5
9/30/2024 23:00,25.5
10/1/2024 0:00,25
10/1/2024 1:00,25
10/1/2024 2:00,25
10/1/2024 3:00,24.5
10/1/2024 4:00,24.5
10/1/2024 5:00,24
10/1/2024 6:00,24.5
10/1/2024 7:00,25
10/1/2024 8:00,25
10/1/2024 9:00,25
10/1/2024 10:00,25
10/1/2024 11:00,25
10/1/2024 12:00,25
10/1/2024 13:00,25
10/1/2024 14:00,25
10/1/2024 15:00,25
10/1/2024 16:00,25
10/1/2024 17:00,25
10/1/2024 18:00,25.5
10/1/2024 19:00,25.5
10/1/2024 20:00,25
10/1/2024 21:00,25
10/1/2024 22:00,25.5
10/1/2024 23:00,25.5
10/2/2024 0:00,25.5
10/2/2024 1:00,25
10/2/2024 2:00,25
10/2/2024 3:00,24.5
10/2/2024 4:00,24.5
10/2/2024 5:00,24.5
10/2/2024 6:00,24.5
10/2/2024 7:00,25
10/2/2024 8:00,25
10/2/2024 9:00,25
10/2/2024 10:00,25
10/2/2024 11:00,25
10/2/2024 12:00,25
10/2/2024 13:00,25
10/2/2024 14:00,25
10/2/2024 15:00,25
10/2/2024 16:00,25
10/2/2024 17:00,25
10/2/2024 18:00,26
10/2/2024 19:00,25
10/2/2024 20:00,25
10/2/2024 21:00,25
10/2/2024 22:00,25
10/2/2024 23:00,25
10/3/2024 0:00,25
10/3/2024 1:00,25
10/3/2024 2:00,25
10/3/2024 3:00,24.5
10/3/2024 4:00,24.5
10/3/2024 5:00,24.5
10/3/2024 6:00,24
10/3/2024 7:00,25
10/3/2024 8:00,25
10/3/2024 9:00,25
10/3/2024 10:00,25
10/3/2024 11:00,25
10/3/2024 12:00,25
10/3/2024 13:00,25
10/3/2024 14:00,25
10/3/2024 15:00,25
10/3/2024 16:00,25
10/3/2024 17:00,25
10/3/2024 18:00,26
10/3/2024 19:00,25
10/3/2024 20:00,25
10/3/2024 21:00,25
10/3/2024 22:00,25
10/3/2024 23:00,25
10/4/2024 0:00,25
10/4/2024 1:00,25
10/4/2024 2:00,25
10/4/2024 3:00,24.5
10/4/2024 4:00,24.5
10/4/2024 5:00,24.5
10/4/2024 6:00,24.5
10/4/2024 7:00,25
10/4/2024 8:00,25
10/4/2024 9:00,25
10/4/2024 10:00,25
10/4/2024 11:00,25
10/4/2024 12:00,25
10/4/2024 13:00,25
10/4/2024 14:00,25
10/4/2024 15:00,25
10/4/2024 16:00,25
10/4/2024 17:00,25
10/4/2024 18:00,25.5
10/4/2024 19:00,25.5
10/4/2024 20:00,25.5
10/4/2024 21:00,25.5
10/4/2024 22:00,25.5
10/4/2024 23:00,25.5
10/5/2024 0:00,25.5
10/5/2024 1:00,25
10/5/2024 2:00,25
10/5/2024 3:00,25
10/5/2024 4:00,24.5
10/5/2024 5:00,24.5
10/5/2024 6:00,24.5
10/5/2024 7:00,25
10/5/2024 8:00,25
10/5/2024 9:00,25
10/5/2024 10:00,25
10/5/2024 11:00,25
10/5/2024 12:00,25
10/5/2024 13:00,25
10/5/2024 14:00,25
10/5/2024 15:00,25
10/5/2024 16:00,25
10/5/2024 17:00,25
10/5/2024 18:00,25.5
10/5/2024 19:00,25.5
10/5/2024 20:00,25.5
10/5/2024 21:00,25.5
10/5/2024 22:00,25.5
10/5/2024 23:00,25.5
10/6/2024 0:00,25.5
10/6/2024 1:00,25
10/6/2024 2:00,25
10/6/2024 3:00,24.5
10/6/2024 4:00,24.5
10/6/2024 5:00,24.5
10/6/2024 6:00,24.5
10/6/2024 7:00,25
10/6/2024 8:00,25
10/6/2024 9:00,25
10/6/2024 10:00,25
10/6/2024 11:00,25
10/6/2024 12:00,25
10/6/2024 13:00,25
10/6/2024 14:00,25
10/6/2024 15:00,25
10/6/2024 16:00,25
10/6/2024 17:00,25
10/6/2024 18:00,25.5
10/6/2024 19:00,25.5
10/6/2024 20:00,25.5
10/6/2024 21:00,25.5
10/6/2024 22:00,25.5
10/6/2024 23:00,25.5
10/7/2024 0:00,25.5
10/7/2024 1:00,25
10/7/2024 2:00,25
10/7/2024 3:00,24.5
10/7/2024 4:00,24.5
10/7/2024 5:00,24.5
10/7/2024 6:00,24.5
10/7/2024 7:00,25
10/7/2024 8:00,25
10/7/2024 9:00,25
10/7/2024 10:00,25
10/7/2024 11:00,25
10/7/2024 12:00,25
10/7/2024 13:00,25
10/7/2024 14:00,25
10/7/2024 15:00,25
10/7/2024 16:00,25
10/7/2024 17:00,25
10/7/2024 18:00,26
10/7/2024 19:00,25.5
10/7/2024 20:00,25.5
10/7/2024 21:00,25
10/7/2024 22:00,25
10/7/2024 23:00,25
10/8/2024 0:00,25
10/8/2024 1:00,25
10/8/2024 2:00,25
10/8/2024 3:00,25
10/8/2024 4:00,24.5
10/8/2024 5:00,24.5
10/8/2024 6:00,24.5
10/8/2024 7:00,25
10/8/2024 8:00,25
10/8/2024 9:00,25
10/8/2024 10:00,25
10/8/2024 11:00,25
10/8/2024 12:00,25
10/8/2024 13:00,25
10/8/2024 14:00,25
10/8/2024 15:00,25
10/8/2024 16:00,25
10/8/2024 17:00,25
10/8/2024 18:00,25.5
10/8/2024 19:00,25.5
10/8/2024 20:00,25
10/8/2024 21:00,25
10/8/2024 22:00,25
10/8/2024 23:00,25.5
10/9/2024 0:00,25.5
10/9/2024 1:00,25
10/9/2024 2:00,25
10/9/2024 3:00,25
10/9/2024 4:00,24.5
10/9/2024 5:00,24.5
10/9/2024 6:00,24.5
10/9/2024 7:00,25
10/9/2024 8:00,25
10/9/2024 9:00,25
10/9/2024 10:00,23.5