no,ID,tube_label,pop,site,order
138,YO11-4-2,ST13L16,YO11,YO,1
93,KC2-1-1,ST1L25,KC2,KC2,2
53,YO11-11 H9 87,ST5L2D5,YO11,YO,3
111,CP2-13-1,ST1L43,CP2,CP2,4
117,YO1-6-1,ST4L24,YO1,YO,5
49,WL2-3-1,ST15L33,WL2,WL,6
92,IH-1-1,ST2L28,IH,IH,7
63,WV-3-2,ST16L48,WV,WV,8
76,IH-2-1,ST1L30,IH,IH,9
115,LV1-14-3,ST16L46,LV1,LV,10
151,SHA-5 H5 19,ST1L50,SHA,SHA,11
67,YO10-6-1,ST11L34,YO10,YO,12
121,WL3-1-1,ST9L5,WL3,WL,13
130,SHA-10 H4 75,ST15L50,SHA,SHA,14
119,KC2-11-1,ST7L40,KC2,KC2,15
54,LV1-10-2,ST5L19,LV1,LV,16
57,SHA-4 H5 4,ST17L14,SHA,SHA,17
169,SQ3-17-1,ST2L47,SQ3,SQ,18
104,WL3-7-1,ST2L24,WL3,WL,19
174,DPR-5-2,ST1L8,DPR,DPR,20
50,IH-7-1,ST5L6,IH,IH,21
6,YO1-9-1,ST16L10,YO1,YO,22
91,YO11-4-1,ST1L36,YO11,YO,23
128,LV3-5-1,ST12L5,LV3,LV,24
21,CP2-2-1,ST10L20,CP2,CP2,25
65,LVTR2-1-1,ST4L4,LVTR2,LV,26
112,CP2-7-1,ST12L23,CP2,CP2,27
42,KC2-12-1,ST6L4,KC2,KC2,28
182,SHA-9 H5 81,ST3L2D5,SHA,SHA,29
39,KC2-18-1,ST4L39,KC2,KC2,30
7,WL3-6-1,ST12L42,WL3,WL,31
33,WL1-11-2,ST7L5,WL1,WL,32
96,SQ1-8-1,ST9L28,SQ1,SQ,33
79,WL1-9-4,ST11L22,WL1,WL,34
81,IH-5-1,ST3L7,IH,IH,35
66,LV1-9-1,ST15L25,LV1,LV,36
100,BH-9-1,ST9L12,BH,BH,37
59,LVTR2.5-12-1,ST4L48,LVTR2.5,LV,38
64,WL2-8-1,ST4L6,WL2,WL,39
95,YO10-12-1,ST14L28,YO10,YO,40
161,WV-1-1,ST8L36,WV,WV,41
32,WL1-1-1,ST4L31,WL1,WL,42
58,TM2-2-1,ST13L4,TM2,TM2,43
149,CP2-11-3,ST8L28,CP2,CP2,44
5,SQ1-3-1,ST12L11,SQ1,SQ,45
75,CP2-14-1,ST9L49,CP2,CP2,46
77,WL3-5-1,ST1L41,WL3,WL,47
168,WL2-10-1,ST10L7,WL2,WL,48
4,WL2-11-1,ST15L17,WL2,WL,49
12,SQ3-15-1,ST12L6,SQ3,SQ,50
87,BH-7-1,ST2L22,BH,BH,51
129,LVTR1.75-4-2,ST14L16,LVTR1.75,LV,52
186,CP2-17-3,ST1L47,CP2,CP2,53
19,YO11-8-1,ST11L23,WL2,WL,54
43,LVTR1.5-8-1,ST3L29,LVTR1.5,LV,55
48,LV3-4-2,ST15L40,LV3,LV,56
55,SHA-1-2,ST4L44,IH,IH,57
107,LV1-2-1,ST13L12,LV1,LV,58
122,TM2-5-1,ST14L10,TM2,TM2,59
127,SHA-7 H5 51,ST16L50,SHA,SHA,60
143,YO11-1 H9 58,ST17L19,YO11,YO,61
147,TM2-8-2,ST8L29,DPR,DPR,62
185,WV-6-1,ST17L9,WV,WV,63
37,WL3-8-1,ST6L47,WL3,WL,64
94,BH-13-1,ST2L21,BH,BH,65
145,YO10-5-1,ST5L34,YO10,YO,66
191,YO10-13-3,ST14L45,YO10,YO,67
10,WV-12-2,ST12L30,WV,WV,68
82,YO10-3-1,ST1L42,YO10,YO,69
148,LV1-4-2,ST4L36,LV1,LV,70
11,WL1-6-1,ST12L12,WL1,WL,71
17,DPR-1-1,ST8L17,DPR,DPR,72
47,DPR-9-1,ST13L41,DPR,DPR,73
52,DPR-7-1,ST15L21,DPR,DPR,74
97,KC2-11-2,ST10L14,KC2,KC2,75
114,YO1-12-1,ST13L40,YO1,YO,76
26,YO1-3-1,ST10L1,YO1,YO,77
40,WL1-3-1,ST8L27,WL1,WL,78
141,WV-7-1,ST15L36,WV,WV,79
142,SHA-10 H5 88,ST9L50,SHA,SHA,80
29,BH-3-1,ST11L49,BH,BH,81
140,TM2-7-1,ST15L31,TM2,TM2,82
146,IH-4-1,ST16L9,IH,IH,83
152,WL2-2-1,ST14L13,WL2,WL,84
30,KC2-12-2,ST10L28,KC2,KC2,85
103,SQ1-1-1,ST3L10,SQ1,SQ,86
180,CP2-7-3,ST11L6,CP2,CP2,87
16,BH-17-1,ST10L30,BH,BH,88
34,YO1-10-2,ST7L23,YO1,YO,89
38,IH-3-1,ST8L20,IH,IH,90
134,YO10-1-3,ST17L4,YO10,YO,91
109,YO10-10-2,ST6L2,LV1,LV,92
45,DPR-3-1,ST5L46,DPR,DPR,93
110,LV3-10-1,ST1L32,LV3,LV,94
116,SQ1-6-1,ST16L43,SQ1,SQ,95
150,LVTR1-1-3,ST11L35,LVTR1,LV,96
18,WL3-9-1,ST10L36,WL3,WL,97
83,LV3-7-1,ST2L18,LV3,LV,98
176,YO11-6-2,ST4L14,YO11,YO,99
13,LV2-9-1,ST8L4,LV2,LV,100
36,SQ3-6-1,ST6L20,SQ3,SQ,101
155,DPR-10-1,ST2L39,DPR,DPR,102
175,TM2-6-2,ST11L37,TM2,TM2,103
9,YO1-4-1,ST3L34,YO1,YO,104
41,WL3-11-1,ST4L5,WL3,WL,105
69,YO11-10-2,ST3L18,YO11,YO,106
73,LV2-11-2,ST8L44,LV2,LV,107
27,BH-11-1,ST10L12,BH,BH,108
108,LV1-13-1,ST12L24,LV1,LV,109
35,LV2-8-1,ST6L12,LV2,LV,110
56,WL2-12-1,ST4L45,WL2,WL,111
72,YO10-8-1,ST8L32,YO10,YO,112
139,KC2-3-1,ST15L42,CP2,CP2,113
31,BH-5-1,ST6L27,BH,BH,114
101,WV-11-1,ST14L35,WV,WV,115
113,WL2-5-3,ST6L3,WL2,WL,116
70,WL2-6-1,ST9L14,WL2,WL,117
74,WL3-4-2,ST9L18,WL3,WL,118
131,YO11-3-1,ST15L18,YO11,YO,119
28,SQ1-4-1,ST11L40,SQ1,SQ,120
106,LVTR2.5-1-1,ST13L38,LVTR2.5,LV,121
24,CP2-9-1,ST10L27,CP2,CP2,122
44,IH-10-1,ST7L9,IH,IH,123
86,IH-8-1,ST1L29,IH,IH,124
102,SQ3-4-1,ST9L4,SQ3,SQ,125
173,SHA-10 H5 55,ST17L20,SHA,SHA,126
25,KC2-9-1,ST11L30X1,KC2,KC2,127
61,SQ3-13-1,ST5L22,SQ3,SQ,128
159,DPR-2-1,ST4L27,DPR,DPR,129
160,DPR-8-1,ST1L11,DPR,DPR,130
89,LV3-8-1,ST1L2,LV3,LV,131
120,IH-6-1,ST8L31,IH,IH,132
126,WV-4-1,ST15L49,WV,WV,133
2,LV1-6-1,ST5L44,LV1,LV,134
105,SQ1-11-1,ST13L42,SQ1,SQ,135
137,SQ3-11-1,ST13L11,SQ3,SQ,136
171,DPR-4-1,ST9L36,DPR,DPR,137
192,YO11-9-4,ST12L22,YO11,YO,138
1,SQ1-2-1,ST12L33,SQ1,SQ,139
3,YO1-7-1,ST3L45,YO1,YO,140
62,BH-15-1,ST14L11,BH,BH,141
98,IH-9-1,ST14L33,IH,IH,142
123,LVTR1.75-1-1,ST9L39,LVTR1.75,LV,143
14,TM2-4-1,ST9L6,TM2,TM2,144
78,LV2-10-3,ST3L3,LV2,LV,145
118,WL3-2-1,ST6L17,WL3,WL,146
184,KC2-9-1,ST11L30X2,KC2,KC2,147
23,YO1-5-1,ST10L9,YO1,YO,148
84,YO1-13-1,ST10L15,YO1,YO,149
51,LV2-13-1,ST4L25,LV2,LV,150
46,SQ3-22-1,ST7L25,SQ3,SQ,151
135,CP2-1-2,ST9L35,CP2,CP2,152
154,TM2-9-1,ST5L42,TM2,TM2,153
172,WL1-2-1,ST17L5,WL1,WL,154
15,SQ3-1-1,ST10L26,SQ3,SQ,155
60,WV-2-3,ST4L30,WV,WV,156
88,LV2-5-1,ST1L27,LV2,LV,157
187,LV1-19-1,ST9L24,LV1,LV,158
8,WL2-9-1,ST12L46,WL2,WL,159
71,YO10-4-1,ST9L42,YO10,YO,160
68,LVTR1-10-2,ST10L22,LVTR1,LV,161
80,LV3-2-1,ST3L8,LV3,LV,162
136,BH-1-1,ST8L3,BH,BH,163
153,WL1-5-1,ST5L35,WL1,WL,164
99,WL1-7-1,ST13L45,WL1,WL,165
165,LV2-2-1,ST6L44,LV2,LV,166
20,WV-5-2,ST10L10,WV,WV,167
125,SQ1-7-1,ST17L6,SQ1,SQ,168
124,LVTR2-18-1,ST12L25,LVTR2,LV,169
90,CP2-10-1,ST1L3,CP2,CP2,170
22,WL2-1-1,ST7L15,WL2,WL,171
178,WL1-10-2,ST16L33,WL1,WL,172
133,LV2-10-2,ST9L44,LV2,LV,173
189,YO1-8-2,ST5L11,YO1,YO,174
144,SQ3-3-1,ST6L41,SQ3,SQ,175
85,LV1-8-1,ST2L35,LV1,LV,176
132,LV3-9-2,ST13L9,LV3,LV,177
156,DPR-6-1,ST4L23,DPR,DPR,178
183,TM2-11-1,ST6L39,TM2,TM2,179
188,WL3-14-1,ST14L36,SQ1,SQ,180
179,LV3-12-1,ST12L36,LV3,LV,181
163,TM2-1-1,ST14L40,TM2,TM2,182
181,WL1-8-3,ST14L48,WL1,WL,183
157,WV-5-1,ST3L47,WV,WV,184
177,LV3-5-2,ST4L9,LV3,LV,185
166,SQ3-10-1,ST9L47,SQ3,SQ,186
158,TM2-10-1,ST10L13,TM2,TM2,187
167,WV-2-1,ST9L2,WV,WV,188
190,SQ1-5-2,ST7L37,SQ1,SQ,189
170,LV2-4-1,ST6L16,LV2,LV,190
162,TM2-3-1,ST7L14,TM2,TM2,191
164,LVTR1.5-1-1,ST13L43,LVTR1.5,LV,192